EAN;NAZWA;CENA_SPRZEDAZY;STAN;ROTACJA;COLI;MARKA
5906874346143;PIWO FRELKA HAZY ALE 0.5L;9.99;0;0;5;ABSZTYFIKANT
5902705000208;PIWO MOCNE 0.5L BT ZW;1.99;0;0;20;JABLONOWO
5903240674527;DOCTOR BREW LAGER 0.5L BTBZ;5.49;0;0;1;DOCTOR BREW
5903031400021;DOCTOR BREW VERMONT IPA 0.5L;7.29;15;1;5;DOCTOR BREW
5906874369197;DZIEWCZYNA SZAMANA FRUITT ALE;8.99;0;0;5;DZIKI WSCHOD
5902528052347;PIWO 1 NA 100 APA0.5L BT BZ;3.99;3;10.5;12;KORMORAN
5902528006784;PIWO KORMORAN 5X 0.5L  +SZKLA;34.99;0;0;1;KORMORAN
5902528523311;PIWO 1 NA 100PIG.I MI.0.5L BTB;4.99;0;0;12;KORMORAN
5906874346129;PIWO TRIBUTE IPA 0.5L;9.99;0;0;5;ABSZTYFIKANT
5902176770044;T.PIWO FOXY GREY 0.5L BT BZ;4.99;0;0;20;RADUGA
5906874346198;PEAK AMERICAN SAISON;9.99;0;0;1;ABSZTYFIKANT
5907222039120;PIWO BE LIKE MITCH 0.5L;7.99;0;0;5;ALEBROWAR
5902448151410;PIWO AIPA 0.5L 6% BUT BZW;8.49;24;0;20;WAWELSKIE
5904730465199;PIWO AIPA AMERICAN 0.5;8.99;0;0;1;WREZEL
5905331026505;PIWO AKCJA AKACJA 0.5L;8.88;0;0;1;BROWAR NA JURZE
5906395396016;PIWO AL ELEGANCKY 0.5L;7.99;0;0;1;BREWERA
5903364108359;PIWO CRAZY MIKE IPA 0.5L;9.99;0;0;1;ALEBROWAR
5907222039748;PIWO EASY PALE ALE 0.5L DDH CI;8.99;0;0;1;ALEBROWAR
5903240674022;PIWO AMERICAN IPA 0.5L BT BZ;6.99;0;0;5;DOCTOR BREW
5904730465380;PIWO AMERICAN LAGER 0.5L;6.48;0;0;1;WREZEL
5902931900228;PIWO AMERICAN WHEAT 0.5L;7.99;0;0;1;TENCZYNEK
5907222039557;PIWO GOSE MORELA 0.5L;9.49;0;0;5;ALEBROWAR
5907222039274;PIWO HERR AXOLOTL BERLINER 0.5;8.99;0;0;1;ALEBROWAR
5906395997251;PIWO ANGLOSAS 0.5 L;8.99;0;0;1;LANCUT
5903111989484;PIWO ANSTADT JASNE 0.5L;6.29;0;0;5;BROWAR STAROPOLSKI
